Name,Body,Year,Price,Transmission,Mileage,Volume,Customs Clearance,Color,задний,передний,полный
9,7,2013,5850000,2,196000.0,1.8,1,11,0,1,0
9,7,2014,8000000,0,182000.0,1.8,1,1,0,1,0
9,7,2014,5000000,0,150.0,2.0,1,11,0,1,0
9,7,2014,6900000,0,126000.0,1.8,1,11,0,1,0
9,7,2014,7000000,0,105320.0,1.8,1,1,0,1,0
9,7,2014,6700000,0,135000.0,1.8,1,1,0,1,0
9,7,2011,6000000,0,242000.0,2.0,1,1,0,1,0
9,7,2013,7000000,2,177000.0,1.8,1,7,0,1,0
9,7,2013,6000000,2,184000.0,1.8,1,7,0,1,0
9,7,2014,5624377,2,280000.0,1.8,1,7,0,1,0
9,7,2014,7500000,0,211268.0,1.8,1,1,0,1,0
9,7,2015,7200000,0,163000.0,1.8,1,1,0,1,0
9,7,2013,6000000,0,134293.0,1.8,1,8,0,1,0
9,7,2013,6700000,0,117000.0,1.8,1,1,0,1,0
9,7,2013,6000000,0,111.0,1.8,1,11,0,1,0
9,7,2013,6000000,0,111.0,1.8,1,11,0,1,0
9,7,2014,6500000,0,162000.0,1.8,1,11,0,1,0
9,7,2015,7500000,0,170000.0,1.8,1,1,0,1,0
9,7,2013,5500000,2,140000.0,1.8,1,8,0,1,0
9,7,2013,5300000,2,160000.0,1.8,1,4,0,1,0
9,7,2014,7950000,0,138000.0,1.8,1,1,0,1,0
9,7,2012,5400000,2,122500.0,1.8,1,1,0,1,0
9,7,2014,5400000,2,190000.0,1.8,1,1,0,1,0
9,7,2012,5400000,2,122000.0,1.8,1,1,0,1,0
9,7,2013,5600000,0,230000.0,1.8,1,8,0,1,0
9,7,2014,5800000,2,160000.0,1.8,1,1,0,1,0
9,7,2013,6790000,0,127017.0,1.8,1,8,0,1,0
9,7,2014,7000000,0,105146.0,1.8,1,1,0,1,0
9,7,2014,7700000,0,170000.0,1.8,1,1,0,1,0
9,7,2013,4700000,2,32000.0,1.8,1,1,0,1,0
9,7,2013,5800000,0,80000.0,1.8,1,2,0,1,0
9,7,2015,6700000,0,196000.0,1.8,1,9,0,1,0
9,7,2013,6300000,0,197000.0,1.8,1,1,0,1,0
10,7,2006,4600000,2,150000.0,1.6,1,7,0,1,0
11,12,2013,1666666,0,103000.0,1.0,0,6,0,1,0
11,12,2011,3850000,0,103000.0,1.0,1,1,0,1,0
11,12,2019,5600000,0,65000.0,1.0,1,0,0,1,0
11,12,2019,5250000,0,66000.0,1.0,1,1,0,1,0
11,12,2013,3900000,0,131000.0,1.0,1,9,0,1,0
11,12,2012,3690000,0,106915.0,1.0,1,5,0,1,0
11,12,2016,5000000,0,64000.0,1.0,1,0,0,1,0
11,12,2011,3500000,0,196000.0,1.0,1,1,0,1,0
11,12,2019,5200000,0,52000.0,1.4,1,1,0,1,0
11,12,2017,5000000,0,65800.0,1.0,1,11,0,1,0
11,12,2012,3500000,2,160.0,1.0,1,9,0,1,0
11,12,2007,1800000,0,193450.0,0.8,0,7,0,1,0
11,12,2012,3500000,0,172000.0,1.0,1,11,0,1,0
11,12,2018,5250000,0,98000.0,1.0,1,0,0,1,0
11,12,2013,3700000,0,174000.0,1.0,1,8,0,1,0
11,12,2012,3300000,0,165000.0,1.0,1,1,0,1,0
11,12,2009,3500000,0,155000.0,1.0,1,3,0,1,0
11,12,2019,5000000,2,47000.0,1.0,1,9,0,1,0
11,12,2009,3600000,0,124000.0,1.0,1,9,0,1,0
11,12,2011,3600000,0,217.0,1.0,1,1,0,1,0
11,12,2010,3900000,0,153000.0,1.0,1,4,0,1,0
11,12,2014,3600000,0,130000.0,1.0,1,3,0,1,0
11,12,2011,3800000,0,117000.0,1.0,1,1,0,1,0
11,12,2019,5000000,0,70000.0,1.0,1,2,0,1,0
11,12,2013,4500000,0,180000.0,1.0,1,11,0,1,0
11,12,2016,4700000,0,46000.0,1.0,1,1,0,1,0
11,12,2013,3950000,0,125000.0,1.0,1,2,0,1,0
11,12,2014,4200000,0,34500.0,1.0,1,3,0,1,0
11,12,2012,3700000,0,19000.0,1.0,1,7,0,1,0
11,12,2013,3800000,0,139264.0,1.0,1,1,0,1,0
11,12,2011,3800000,0,150000.0,1.0,1,2,0,1,0
11,12,2010,3800000,0,222000.0,1.0,1,5,0,1,0
11,12,2019,4700000,0,11000.0,1.0,1,1,0,1,0
11,12,2011,3600000,0,217.0,1.0,1,1,0,1,0
